labels,Intensity
"[1.49, 3.01]","[1.         0.99995912 0.99983714 0.99963608 0.99935923 0.99901114
 0.99859752 0.99812518 0.99760187 0.99703619 0.99643742 0.9958154
 0.99518034 0.99454267 0.99391286 0.99330126 0.99271789 0.99217235
 0.99167359 0.99122979 0.99084823 0.99053519 0.9902958  0.99013399
 0.99005242 0.99005242 0.99013399 0.9902958  0.99053519 0.99084823
 0.99122979 0.99167359 0.99217235 0.99271789 0.99330126 0.99391286
 0.99454267 0.99518034 0.9958154  0.99643742 0.99703619 0.99760187
 0.99812518 0.99859752 0.99901114 0.99935923 0.99963608 0.99983714
 0.99995912 1.        ]"
"[0.72, 1.5]","[1.         0.99570212 0.98288185 0.96175785 0.9326895  0.89616923
 0.85281156 0.80333884 0.74856379 0.68936927 0.6266859  0.56146846
 0.49467245 0.4272321  0.36004162 0.29394149 0.22971237 0.16808057
 0.10974187 0.05541596 0.00594928 0.         0.         0.
 0.         0.         0.         0.         0.         0.00594928
 0.05541596 0.10974187 0.16808057 0.22971237 0.29394149 0.36004162
 0.4272321  0.49467245 0.56146846 0.6266859  0.68936927 0.74856379
 0.80333884 0.85281156 0.89616923 0.9326895  0.96175785 0.98288185
 0.99570212 1.        ]"
"[3.0, 1.03]","[0.         0.         0.         0.         0.         0.
 0.         0.06435416 0.13218402 0.20193742 0.27333327 0.34586848
 0.41886682 0.4915181  0.56291255 0.63207375 0.69799131 0.75965318
 0.81607703 0.8663394  0.90960191 0.94513361 0.97232925 0.99072328
 1.         1.         0.99072328 0.97232925 0.94513361 0.90960191
 0.8663394  0.81607703 0.75965318 0.69799131 0.63207375 0.56291255
 0.4915181  0.41886682 0.34586848 0.27333327 0.20193742 0.13218402
 0.06435416 0.         0.         0.         0.         0.
 0.         0.        ]"
"[2.22, 1.04]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.08694974 0.17436387 0.2612685
 0.34718464 0.43144268 0.51323842 0.59167889 0.66582152 0.73470938
 0.79740339 0.85301185 0.90071739 0.93980075 0.96966124 0.98983346
 1.         1.         0.98983346 0.96966124 0.93980075 0.90071739
 0.85301185 0.79740339 0.73470938 0.66582152 0.59167889 0.51323842
 0.43144268 0.34718464 0.2612685  0.17436387 0.08694974 0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
"[0.68, 0.28]","[1.         0.99400184 0.97608531 0.94648264 0.90557532 0.85388607
 0.79206802 0.72089154 0.64122948 0.5540415  0.46035864 0.36126939
 0.25790919 0.15145563 0.04313262 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.04313262
 0.15145563 0.25790919 0.36126939 0.46035864 0.5540415  0.64122948
 0.72089154 0.79206802 0.85388607 0.90557532 0.94648264 0.97608531
 0.99400184 1.        ]"
"[1.45, 3.01]","[1.         0.99993408 0.99973739 0.99941317 0.99896675 0.99840546
 0.99773852 0.99697689 0.99613308 0.99522095 0.99425548 0.99325252
 0.99222856 0.99120041 0.99018493 0.98919882 0.98825826 0.98737868
 0.98657452 0.985859   0.98524383 0.98473913 0.98435318 0.9840923
 0.98396079 0.98396079 0.9840923  0.98435318 0.98473913 0.98524383
 0.985859   0.98657452 0.98737868 0.98825826 0.98919882 0.99018493
 0.99120041 0.99222856 0.99325252 0.99425548 0.99522095 0.99613308
 0.99697689 0.99773852 0.99840546 0.99896675 0.99941317 0.99973739
 0.99993408 1.        ]"
"[2.26, 0.96]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.03426712 0.12887873 0.22197802
 0.31339571 0.40263571 0.48898857 0.57160858 0.64957122 0.72191935
 0.78770254 0.84601158 0.89600886 0.93695477 0.96823019 0.98935461
 1.         1.         0.98935461 0.96823019 0.93695477 0.89600886
 0.84601158 0.78770254 0.72191935 0.64957122 0.57160858 0.48898857
 0.40263571 0.31339571 0.22197802 0.12887873 0.03426712 0.
 0.         0.         0.         0.         0.         0.
 0.         0.        ]"
"[2.94, 1.65]","[0.         0.         0.         0.         0.         0.
 0.         0.05555936 0.12395159 0.19397043 0.26558193 0.3384011
 0.41180258 0.48498788 0.55703452 0.62693815 0.69365202 0.7561247
 0.81333559 0.86432714 0.90823279 0.94430003 0.97190829 0.9905821
 1.         1.         0.9905821  0.97190829 0.94430003 0.90823279
 0.86432714 0.81333559 0.7561247  0.69365202 0.62693815 0.55703452
 0.48498788 0.41180258 0.3384011  0.26558193 0.19397043 0.12395159
 0.05555936 0.         0.         0.         0.         0.
 0.         0.        ]"
"[1.78, 0.06]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[0.2, 0.68]","[1.         0.99570145 0.98287778 0.96174331 0.93264981 0.89607839
 0.85262818 0.80300206 0.74798963 0.68844804 0.62528128 0.55941892
 0.49179544 0.42333141 0.35491815 0.28740781 0.22161169 0.15831116
 0.09828799 0.04238428 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.04238428 0.09828799 0.15831116 0.22161169 0.28740781 0.35491815
 0.42333141 0.49179544 0.55941892 0.62528128 0.68844804 0.74798963
 0.80300206 0.85262818 0.89607839 0.93264981 0.96174331 0.98287778
 0.99570145 1.        ]"
